id,question,cardId,difficulty,source
ex-00091,"Is What the newsvendor model is for a probability, a quantity, or a dollar value?",newsvendor-purpose,applied,generated
ex-00092,What is the intuition behind newsvendor?,newsvendor-purpose,basic,generated
ex-00093,"For the Autumn and Leaves case, Does single order apply to Autumn, Leaves, or both?",newsvendor-purpose,applied,generated
ex-00094,"In the current scenario, How is single order connected to capacity?",newsvendor-purpose,basic,generated
ex-00095,"In the current scenario, When would seasonal change my recommendation?",newsvendor-purpose,applied,generated
ex-00096,"For the Autumn and Leaves case, How can I use the chart for newsvendor?",newsvendor-purpose,basic,generated
ex-00097,"Before I reveal the optimizer, How do I avoid misusing single order?",newsvendor-purpose,basic,generated
ex-00098,"Before I reveal the optimizer, What happens to uncertainty if capacity is smaller?",newsvendor-purpose,applied,generated
ex-00099,"In the current scenario, How should I think about single order for the parka problem?",newsvendor-purpose,intermediate,generated
ex-00100,"Before I reveal the optimizer, Can you explain uncertainty without giving away the final answer?",newsvendor-purpose,basic,generated
ex-00101,"Before I reveal the optimizer, How is uncertainty connected to marginal contribution?",newsvendor-purpose,applied,generated
ex-00102,"For the Autumn and Leaves case, Why should I not ignore uncertainty?",newsvendor-purpose,basic,generated
ex-00103,"For the Autumn and Leaves case, What is the formula idea behind newsvendor?",newsvendor-purpose,applied,generated
ex-00104,How can I use the chart for uncertainty?,newsvendor-purpose,basic,generated
ex-00105,"For the Autumn and Leaves case, Is uncertainty a probability, a quantity, or a dollar value?",newsvendor-purpose,basic,generated
ex-00106,"For the Autumn and Leaves case, Why is newsvendor important in this lecture?",newsvendor-purpose,intermediate,generated
ex-00107,"In the current scenario, What happens to newsvendor if capacity is larger?",newsvendor-purpose,applied,generated
ex-00108,"In the current scenario, How can I use the chart for What the newsvendor model is for?",newsvendor-purpose,basic,generated
ex-00109,"For the Autumn and Leaves case, How does uncertainty affect the quantities?",newsvendor-purpose,basic,generated
ex-00110,"Before I reveal the optimizer, How is uncertainty connected to marginal contribution?",newsvendor-purpose,intermediate,generated
ex-00111,Can you explain seasonal without giving away the final answer?,newsvendor-purpose,basic,generated
ex-00112,"Before I reveal the optimizer, What does uncertainty mean?",newsvendor-purpose,intermediate,generated
ex-00113,"For the Autumn and Leaves case, What is a good way to interpret What the newsvendor model is for?",newsvendor-purpose,basic,generated
ex-00114,"For the Autumn and Leaves case, Give me a plain English explanation of newsvendor.",newsvendor-purpose,basic,generated
ex-00115,"For the Autumn and Leaves case, What is the formula idea behind uncertainty?",newsvendor-purpose,basic,generated
ex-00116,"For the Autumn and Leaves case, I am confused about What the newsvendor model is for; explain it slowly.",newsvendor-purpose,basic,generated
ex-00117,"For the Autumn and Leaves case, Why is uncertainty important in this lecture?",newsvendor-purpose,basic,generated
ex-00118,"For the Autumn and Leaves case, What is the managerial meaning of uncertainty?",newsvendor-purpose,intermediate,generated
ex-00119,"For the Autumn and Leaves case, Can you compare Autumn and Leaves using What the newsvendor model is for?",newsvendor-purpose,intermediate,generated
ex-00120,"As a student, How should I think about newsvendor for the parka problem?",newsvendor-purpose,intermediate,generated
ex-00121,"For the Autumn and Leaves case, Why is single order important in this lecture?",newsvendor-purpose,applied,generated
ex-00122,What happens to single order if capacity is smaller?,newsvendor-purpose,basic,generated
ex-00123,"Before I reveal the optimizer, How is single order connected to capacity?",newsvendor-purpose,basic,generated
ex-00124,What is the intuition behind newsvendor?,newsvendor-purpose,basic,generated
ex-00125,Can you define newsvendor in simple English?,newsvendor-purpose,basic,generated
ex-00126,"For the Autumn and Leaves case, What happens to newsvendor if capacity is larger?",newsvendor-purpose,applied,generated
ex-00127,"As a student, How do I avoid misusing newsvendor?",newsvendor-purpose,basic,generated
ex-00128,"As a student, I am confused about seasonal; explain it slowly.",newsvendor-purpose,basic,generated
ex-00129,"For the Autumn and Leaves case, What are the units of uncertainty?",newsvendor-purpose,intermediate,generated
ex-00130,What is the managerial meaning of newsvendor?,newsvendor-purpose,intermediate,generated
ex-00131,"Before I reveal the optimizer, What happens to seasonal if capacity is larger?",newsvendor-purpose,basic,generated
ex-00132,"Before I reveal the optimizer, What should I look for when evaluating single order?",newsvendor-purpose,basic,generated
ex-00133,"In the current scenario, When would newsvendor change my recommendation?",newsvendor-purpose,applied,generated
ex-00134,Give me a plain English explanation of uncertainty.,newsvendor-purpose,basic,generated
ex-00135,"For the Autumn and Leaves case, How can I use the chart for understock?",overstock-understock,applied,generated
ex-00136,"As a student, How would I describe Overstocking versus understocking to a manager?",overstock-understock,intermediate,generated
ex-00137,"For the Autumn and Leaves case, How should I think about tradeoff for the parka problem?",overstock-understock,intermediate,generated
ex-00138,"Before I reveal the optimizer, What does the table tell me about lost sales?",overstock-understock,intermediate,generated
ex-00139,"As a student, Why should I not ignore Overstocking versus understocking?",overstock-understock,applied,generated
ex-00140,"Before I reveal the optimizer, What is the intuition behind understock?",overstock-understock,basic,generated
ex-00141,"Before I reveal the optimizer, How can I use the chart for understock?",overstock-understock,basic,generated
ex-00142,"In the current scenario, What happens to leftover if capacity is larger?",overstock-understock,basic,generated
ex-00143,"For the Autumn and Leaves case, How would I describe tradeoff to a manager?",overstock-understock,intermediate,generated
ex-00144,When would understock change my recommendation?,overstock-understock,basic,generated
ex-00145,How should I think about lost sales for the parka problem?,overstock-understock,basic,generated
ex-00146,"Before I reveal the optimizer, What should I look for when evaluating tradeoff?",overstock-understock,intermediate,generated
ex-00147,How can I use the chart for overstock?,overstock-understock,basic,generated
ex-00148,"As a student, What is the managerial meaning of lost sales?",overstock-understock,basic,generated
ex-00149,"For the Autumn and Leaves case, What is the managerial meaning of leftover?",overstock-understock,basic,generated
ex-00150,What does understock mean?,overstock-understock,basic,generated
ex-00151,"As a student, Can you compare Autumn and Leaves using overstock?",overstock-understock,basic,generated
ex-00152,"As a student, How should I think about lost sales for the parka problem?",overstock-understock,applied,generated
ex-00153,"Before I reveal the optimizer, Can you give a short hint about Overstocking versus understocking?",overstock-understock,basic,generated
ex-00154,"In the current scenario, How should I think about leftover for the parka problem?",overstock-understock,applied,generated
ex-00155,"As a student, What should I look for when evaluating understock?",overstock-understock,basic,generated
ex-00156,"Before I reveal the optimizer, I am confused about overstock; explain it slowly.",overstock-understock,basic,generated
ex-00157,"For the Autumn and Leaves case, When would overstock change my recommendation?",overstock-understock,basic,generated
ex-00158,"Before I reveal the optimizer, When would Overstocking versus understocking change my recommendation?",overstock-understock,basic,generated
ex-00159,"Before I reveal the optimizer, Why should I not ignore overstock?",overstock-understock,basic,generated
ex-00160,"In the current scenario, How can I use the chart for understock?",overstock-understock,basic,generated
ex-00161,"For the Autumn and Leaves case, What is the managerial meaning of Overstocking versus understocking?",overstock-understock,intermediate,generated
ex-00162,"In the current scenario, What is the managerial meaning of Overstocking versus understocking?",overstock-understock,applied,generated
ex-00163,"In the current scenario, Why is leftover important in this lecture?",overstock-understock,intermediate,generated
ex-00164,"In the current scenario, How should I think about Overstocking versus understocking for the parka problem?",overstock-understock,basic,generated
ex-00165,"Before I reveal the optimizer, Why should I not ignore overstock?",overstock-understock,basic,generated
ex-00166,"For the Autumn and Leaves case, What does the table tell me about lost sales?",overstock-understock,intermediate,generated
ex-00167,When would Overstocking versus understocking change my recommendation?,overstock-understock,basic,generated
ex-00168,"Before I reveal the optimizer, How do I avoid misusing understock?",overstock-understock,intermediate,generated
ex-00169,"As a student, How is tradeoff connected to capacity?",overstock-understock,intermediate,generated
ex-00170,"As a student, How can I use the chart for tradeoff?",overstock-understock,intermediate,generated
ex-00171,"In the current scenario, Can you define leftover in simple English?",overstock-understock,basic,generated
ex-00172,What does the table tell me about Overstocking versus understocking?,overstock-understock,basic,generated
ex-00173,"For the Autumn and Leaves case, What happens to understock if capacity is smaller?",overstock-understock,applied,generated
ex-00174,"For the Autumn and Leaves case, How does tradeoff affect the quantities?",overstock-understock,intermediate,generated
ex-00175,"In the current scenario, When would lost sales change my recommendation?",overstock-understock,applied,generated
ex-00176,Can you give a short hint about tradeoff?,overstock-understock,intermediate,generated
ex-00177,What is the formula idea behind understock?,overstock-understock,basic,generated
ex-00178,"In the current scenario, What is a good way to interpret Overstocking versus understocking?",overstock-understock,intermediate,generated
ex-00179,How do I know if understock matters here?,overstock-understock,basic,generated
ex-00180,"Before I reveal the optimizer, What is a good way to interpret lost sales?",overstock-understock,intermediate,generated
ex-00181,"Before I reveal the optimizer, What should I look for when evaluating tradeoff?",overstock-understock,applied,generated
ex-00182,"As a student, Give me a plain English explanation of leftover.",overstock-understock,applied,generated
ex-00183,"For the Autumn and Leaves case, Why should I not ignore overstock?",overstock-understock,applied,generated
ex-00184,How is understock connected to marginal contribution?,overstock-understock,applied,generated
ex-00185,"In the current scenario, Can you give a short hint about tradeoff?",overstock-understock,basic,generated
ex-00186,"As a student, What are the units of understock?",overstock-understock,applied,generated
ex-00187,"For the Autumn and Leaves case, What is the intuition behind leftover?",overstock-understock,intermediate,generated
ex-00188,"For the Autumn and Leaves case, Can you define leftover in simple English?",overstock-understock,applied,generated
ex-00189,"As a student, What happens to leftover if capacity is larger?",overstock-understock,applied,generated
ex-00190,"For the Autumn and Leaves case, When would lost sales change my recommendation?",overstock-understock,basic,generated
ex-00191,Can you define leftover in simple English?,overstock-understock,intermediate,generated
ex-00192,How do I know if leftover matters here?,overstock-understock,basic,generated
ex-00193,How should I think about understock for the parka problem?,overstock-understock,basic,generated
ex-00194,"For the Autumn and Leaves case, Give me a plain English explanation of Overstocking versus understocking.",overstock-understock,applied,generated
ex-00195,When would overstock change my recommendation?,overstock-understock,applied,generated
ex-00196,"As a student, I am confused about overstock; explain it slowly.",overstock-understock,basic,generated
ex-00197,"In the current scenario, Can you explain understock without giving away the final answer?",overstock-understock,applied,generated
ex-00198,"For the Autumn and Leaves case, How is overstock connected to marginal contribution?",overstock-understock,basic,generated
ex-00199,Can you define tradeoff in simple English?,overstock-understock,applied,generated
ex-00200,"Before I reveal the optimizer, What does the table tell me about overstock?",overstock-understock,intermediate,generated
ex-00201,"In the current scenario, What mistake do students make about understock?",overstock-understock,basic,generated
ex-00202,"As a student, How do I avoid misusing lost sales?",overstock-understock,basic,generated
ex-00203,"Before I reveal the optimizer, What does Overstocking versus understocking mean?",overstock-understock,applied,generated
ex-00204,What does the table tell me about tradeoff?,overstock-understock,basic,generated
ex-00205,"In the current scenario, What is the intuition behind understock?",overstock-understock,intermediate,generated
ex-00206,"As a student, What are the units of tradeoff?",overstock-understock,applied,generated
ex-00207,"As a student, How do I know if leftover matters here?",overstock-understock,applied,generated
ex-00208,"In the current scenario, How is Overstocking versus understocking connected to capacity?",overstock-understock,applied,generated
ex-00209,"For the Autumn and Leaves case, What is the managerial meaning of understock?",overstock-understock,basic,generated
ex-00210,How should I think about overstock for the parka problem?,overstock-understock,basic,generated
ex-00211,"As a student, What is the managerial meaning of lost sales?",overstock-understock,basic,generated
ex-00212,"In the current scenario, What does Overstocking versus understocking mean?",overstock-understock,applied,generated
ex-00213,"Before I reveal the optimizer, Can you compare Autumn and Leaves using lost sales?",overstock-understock,basic,generated
ex-00214,"In the current scenario, How does Overstocking versus understocking affect the quantities?",overstock-understock,applied,generated
ex-00215,What is the intuition behind overstock?,overstock-understock,applied,generated
ex-00216,"Before I reveal the optimizer, Can you define lost sales in simple English?",overstock-understock,basic,generated
ex-00217,"For the Autumn and Leaves case, Can you define overstock in simple English?",overstock-understock,basic,generated
ex-00218,"For the Autumn and Leaves case, Is lost sales a probability, a quantity, or a dollar value?",overstock-understock,applied,generated
ex-00219,"In the current scenario, What is the intuition behind overstock?",overstock-understock,basic,generated
ex-00220,"As a student, How can I use the chart for understock?",overstock-understock,basic,generated
ex-00221,"In the current scenario, What is a good way to interpret lost sales?",overstock-understock,basic,generated
ex-00222,"As a student, How can I use the chart for understock?",overstock-understock,basic,generated
ex-00223,"Before I reveal the optimizer, Can you explain Overstocking versus understocking without giving away the final answer?",overstock-understock,intermediate,generated
ex-00224,"Before I reveal the optimizer, What does the table tell me about overstock?",overstock-understock,basic,generated
ex-00225,"For the Autumn and Leaves case, Why should I not ignore Overstocking versus understocking?",overstock-understock,intermediate,generated
ex-00226,"For the Autumn and Leaves case, Can you define leftover in simple English?",overstock-understock,basic,generated
ex-00227,"For the Autumn and Leaves case, Can you explain tradeoff without giving away the final answer?",overstock-understock,applied,generated
ex-00228,"For the Autumn and Leaves case, How can I use the chart for understock?",overstock-understock,basic,generated
ex-00229,"For the Autumn and Leaves case, What should I look for when evaluating tradeoff?",overstock-understock,basic,generated
ex-00230,"In the current scenario, How is overstock connected to marginal contribution?",overstock-understock,intermediate,generated
ex-00231,"Is leftover a probability, a quantity, or a dollar value?",overstock-understock,basic,generated
ex-00232,"As a student, What happens to overstock if capacity is larger?",overstock-understock,basic,generated
ex-00233,"As a student, How do I avoid misusing lost sales?",overstock-understock,applied,generated
ex-00234,"Before I reveal the optimizer, How does Overstocking versus understocking affect the quantities?",overstock-understock,basic,generated
ex-00235,"As a student, What is a good way to interpret tradeoff?",overstock-understock,intermediate,generated
ex-00236,Can you compare Autumn and Leaves using lost sales?,overstock-understock,basic,generated
ex-00237,"Is Overstocking versus understocking a probability, a quantity, or a dollar value?",overstock-understock,basic,generated
ex-00238,Give me a plain English explanation of lost sales.,overstock-understock,basic,generated
ex-00239,What mistake do students make about understock?,overstock-understock,applied,generated
ex-00240,"As a student, When would understock change my recommendation?",overstock-understock,basic,generated
ex-00241,How do I avoid misusing tradeoff?,overstock-understock,applied,generated
ex-00242,"Before I reveal the optimizer, Give me a plain English explanation of Overstocking versus understocking.",overstock-understock,basic,generated
ex-00243,What is the intuition behind leftover?,overstock-understock,basic,generated
ex-00244,"In the current scenario, Why should I not ignore leftover?",overstock-understock,intermediate,generated
ex-00245,"In the current scenario, Why should I not ignore leftover?",overstock-understock,applied,generated
ex-00246,"As a student, What mistake do students make about understock?",overstock-understock,basic,generated
ex-00247,"For the Autumn and Leaves case, What is the intuition behind tradeoff?",overstock-understock,applied,generated
ex-00248,What is the intuition behind lost sales?,overstock-understock,basic,generated
ex-00249,What does leftover mean?,overstock-understock,basic,generated
ex-00250,"Before I reveal the optimizer, How do I avoid misusing understock?",overstock-understock,intermediate,generated
ex-00251,"For the Autumn and Leaves case, I am confused about leftover; explain it slowly.",overstock-understock,basic,generated
ex-00252,How do I know if Overstocking versus understocking matters here?,overstock-understock,basic,generated
ex-00253,Can you explain understock without giving away the final answer?,overstock-understock,basic,generated
ex-00254,"As a student, How would I describe lost sales to a manager?",overstock-understock,basic,generated
ex-00255,"Before I reveal the optimizer, How is critical fractile connected to capacity?",critical-fractile,intermediate,generated
ex-00256,"In the current scenario, How should I think about critical fractile for the parka problem?",critical-fractile,basic,generated
ex-00257,"Before I reveal the optimizer, When would critical fractile change my recommendation?",critical-fractile,basic,generated
ex-00258,"In the current scenario, How is critical fractile connected to capacity?",critical-fractile,basic,generated
ex-00259,"In the current scenario, How can I use the chart for newsvendor?",critical-fractile,basic,generated
ex-00260,"As a student, Does service level apply to Autumn, Leaves, or both?",critical-fractile,applied,generated
ex-00261,What does the table tell me about service level?,critical-fractile,intermediate,generated
ex-00262,I am confused about CSL; explain it slowly.,critical-fractile,intermediate,generated
ex-00263,"In the current scenario, Why is critical fractile important in this lecture?",critical-fractile,basic,generated
ex-00264,"Before I reveal the optimizer, What happens to CSL if capacity is larger?",critical-fractile,applied,generated
ex-00265,"As a student, What mistake do students make about critical ratio?",critical-fractile,basic,generated
ex-00266,"As a student, Can you give a short hint about critical ratio?",critical-fractile,basic,generated
ex-00267,"For the Autumn and Leaves case, How would I describe CSL to a manager?",critical-fractile,basic,generated
ex-00268,"For the Autumn and Leaves case, Why should I not ignore Ordinary critical fractile?",critical-fractile,basic,generated
ex-00269,"Before I reveal the optimizer, Can you define newsvendor in simple English?",critical-fractile,basic,generated
ex-00270,Give me a plain English explanation of critical fractile.,critical-fractile,intermediate,generated
ex-00271,What are the units of Ordinary critical fractile?,critical-fractile,basic,generated
ex-00272,"In the current scenario, What mistake do students make about critical ratio?",critical-fractile,applied,generated
ex-00273,"Before I reveal the optimizer, What happens to critical ratio if capacity is smaller?",critical-fractile,basic,generated
ex-00274,"Before I reveal the optimizer, What mistake do students make about CSL?",critical-fractile,basic,generated
ex-00275,"As a student, What is the intuition behind newsvendor?",critical-fractile,basic,generated
ex-00276,How is service level connected to capacity?,critical-fractile,basic,generated
ex-00277,"For the Autumn and Leaves case, Can you explain CSL without giving away the final answer?",critical-fractile,basic,generated
ex-00278,"For the Autumn and Leaves case, I am confused about CSL; explain it slowly.",critical-fractile,basic,generated
ex-00279,"As a student, I am confused about critical ratio; explain it slowly.",critical-fractile,basic,generated
ex-00280,"For the Autumn and Leaves case, What happens to critical fractile if capacity is larger?",critical-fractile,applied,generated
ex-00281,Can you explain service level without giving away the final answer?,critical-fractile,intermediate,generated
ex-00282,"As a student, How should I think about service level for the parka problem?",critical-fractile,applied,generated
ex-00283,Can you define Ordinary critical fractile in simple English?,critical-fractile,intermediate,generated
ex-00284,"Before I reveal the optimizer, What is the formula idea behind critical ratio?",critical-fractile,basic,generated
ex-00285,"For the Autumn and Leaves case, How do I know if critical ratio matters here?",critical-fractile,basic,generated
ex-00286,"In the current scenario, What mistake do students make about CSL?",critical-fractile,intermediate,generated
ex-00287,"Before I reveal the optimizer, I am confused about CSL; explain it slowly.",critical-fractile,basic,generated
ex-00288,"For the Autumn and Leaves case, Why is newsvendor important in this lecture?",critical-fractile,basic,generated
ex-00289,"As a student, What should I look for when evaluating service level?",critical-fractile,applied,generated
ex-00290,"As a student, Can you compare Autumn and Leaves using critical fractile?",critical-fractile,intermediate,generated
ex-00291,"For the Autumn and Leaves case, Can you give a short hint about critical fractile?",critical-fractile,basic,generated
ex-00292,"As a student, Why should I not ignore critical fractile?",critical-fractile,basic,generated
ex-00293,"In the current scenario, How is CSL connected to marginal contribution?",critical-fractile,basic,generated
ex-00294,"In the current scenario, How can I use the chart for newsvendor?",critical-fractile,intermediate,generated
ex-00295,"In the current scenario, How can I use the chart for critical ratio?",critical-fractile,intermediate,generated
ex-00296,"As a student, Can you explain Ordinary critical fractile without giving away the final answer?",critical-fractile,applied,generated
ex-00297,Can you explain Ordinary critical fractile without giving away the final answer?,critical-fractile,basic,generated
ex-00298,"Before I reveal the optimizer, How is critical ratio connected to capacity?",critical-fractile,applied,generated
ex-00299,What is the managerial meaning of newsvendor?,critical-fractile,intermediate,generated
ex-00300,"For the Autumn and Leaves case, What mistake do students make about service level?",critical-fractile,applied,generated
ex-00301,"In the current scenario, Does newsvendor apply to Autumn, Leaves, or both?",critical-fractile,basic,generated
ex-00302,How does critical fractile affect the quantities?,critical-fractile,applied,generated
ex-00303,"Before I reveal the optimizer, How do I know if newsvendor matters here?",critical-fractile,basic,generated
ex-00304,"Before I reveal the optimizer, How is CSL connected to marginal contribution?",critical-fractile,intermediate,generated
ex-00305,"Before I reveal the optimizer, How do I avoid misusing Ordinary critical fractile?",critical-fractile,basic,generated
ex-00306,"As a student, How is critical ratio connected to capacity?",critical-fractile,basic,generated
ex-00307,"In the current scenario, How is critical fractile connected to capacity?",critical-fractile,basic,generated
ex-00308,"Before I reveal the optimizer, What mistake do students make about Ordinary critical fractile?",critical-fractile,basic,generated
ex-00309,"Before I reveal the optimizer, What is the intuition behind CSL?",critical-fractile,applied,generated
ex-00310,"As a student, What does the table tell me about critical fractile?",critical-fractile,basic,generated
ex-00311,"As a student, How would I describe CSL to a manager?",critical-fractile,basic,generated
ex-00312,"For the Autumn and Leaves case, What is a good way to interpret service level?",critical-fractile,basic,generated
